% Model:              eigenfreq_and_eigenvector(structure4,elastic_load).mph
% Version:            COMSOL 6.2.0.290
% Date:               Mar 18 2026, 15:18
% Dimension:          1
% Nodes:              2806
% Expressions:        20
% Description:        Global
% x,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1,Average 1
104.71975511965978,2.035248529314667E-9,393.3502548564101,689.259555409645,1116.787138221233,1418.8130873406635,1749.1643243104681,2267.4607016048412,2697.523912847409,3921.1933405412715,4027.0401764986527,4245.009468695398,4320.476974099276,4341.745823727953,5728.284273878184,5783.176579362139,5864.646950468541,7940.813249271965,8009.150112004101,8622.192970962855,8791.868587292667
109.95574287564277,6.604320486702684E-10,427.73755621301905,720.0273613962573,1125.3490239828432,1419.0076388671644,1756.3974890699535,2274.10753586813,2730.3175812627915,3955.919349062197,4024.2101027122512,4280.990356273182,4340.141038845911,4388.062976232778,5725.866310657435,5782.201437772591,5890.925450771367,7942.757302242396,8008.454105122494,8692.886694019811,8773.334272768108
115.19173063162575,1.6198479433556663E-9,462.8102513313242,750.0122743701055,1133.4341286412423,1419.1264242787688,1762.5331696096869,2280.3395900364185,2761.561252139154,3979.0601529648116,4020.8050151315006,4315.4625609053055,4339.025060383757,4464.942532403374,5723.359220914793,5781.229602477996,5919.352214710521,7943.715177733617,8007.921148024596,8754.138474603762,8768.252978000692
120.42771838760873,2.8069857651690716E-10,498.4648199669793,779.1935952581757,1141.088016112133,1419.182357753723,1767.6933570063204,2286.099429887073,2791.2269839403016,3994.754998190314,4016.8116870287595,4338.43101203064,4349.16080008785,4545.695780145886,5720.769268870131,5780.265557126419,5950.009663106103,7943.763964038916,8007.550732728274,8734.67697983936,8801.767203365787
125.66370614359172,1.8670697449153579E-10,534.5968759261013,807.550092896629,1148.3500405187328,1419.1852977156482,1771.9875221648238,2291.3340884539384,2819.29502258439,4005.7736888390696,4012.230551316475,4338.379309849377,4382.4458632286605,4626.737370233871,5718.103464238451,5779.313511854773,5982.965705788672,7942.977259450705,8007.332230734238,8715.088867645487,8799.840722341953
130.89969389957471,1.818463631991986E-9,571.1008419756247,835.0603957970535,1155.2539466901399,1419.1429365735464,1775.5141952484676,2295.995482063633,2845.758133890247,4007.0762024082096,4013.799668292199,4338.876777357262,4415.370659768823,4705.961401715088,5715.369601211852,5778.377384152286,6018.269627068326,7941.423012362895,8007.247238944932,8695.470415525619,8797.93282308138
136.13568165555773,9.20622533059195E-10,607.8695485099664,861.7033248025153,1161.8283906831116,1419.061415274465,1778.3622634157534,2300.0408640835058,2870.6232733167762,4001.377109585089,4019.844224247095,4339.916973000321,4447.838934304718,4782.163273500742,5712.576292180251,5777.460785622592,6055.948116333317,7939.160975776724,8007.272907866682,8675.905419795365,8796.042569825953
141.3716694115407,1.2473183164785266E-10,644.7937537490833,887.4581929783071,1168.0974080328158,1418.945758430751,1780.612075775591,2303.433327477082,2893.9113844056287,3995.174577902749,4024.528361170643,4341.480958392409,4479.690444931878,4854.667918895763,5709.7329949494215,5776.567014201782,6096.0016474575295,7936.240413351406,8007.385219125514,8656.472428683077,8794.17313261706
146.60765716752368,5.1177610477293154E-11,681.7615785712279,912.3050954547549,1174.080843318141,1418.8001901850503,1782.3364057948866,2306.142364855563,2915.655989144885,3988.5211596327636,4028.2461091873083,4343.538697727359,4510.743655245601,4923.118642960476,5706.850032090314,5775.699051650473,6138.4013677003695,7932.698578449915,8007.5614864478885,8637.246967472734,8792.329420591466
151.84364492350667,1.350127204391113E-9,718.657844088881,936.2252136464676,1179.7947462316267,1418.6283680810961,1783.6012991000068,2308.144492256389,2935.901096966434,3981.478686234394,4031.256172761544,4346.050794436311,4540.818734134501,4987.356733327877,5703.938600690442,5774.859565658027,6183.086589068605,7928.560121172808,8007.781840502102,8618.302298789207,8790.517108207116
157.07963267948966,5.160532532226521E-10,755.3632917308718,959.2011638815118,1185.2517385202202,1418.433560696864,1784.4668224717577,2309.4239393367575,2954.698827766888,3974.116143732272,4033.7339424679094,4348.970370283854,4569.750783875361,5047.349854729326,5701.01077100326,5774.050916272858,6229.962900293795,7923.837285740472,8008.029824686341,8599.709662854226,8788.742183801869
162.31562043547265,6.388030731244149E-10,791.753653066219,981.2174330627057,1190.461353115207,1418.218784349842,1784.9877238334934,2309.9734045630516,2972.107026870764,3966.507564845808,4035.801808648767,4352.244916093849,4597.3974768870685,5103.147241170417,5698.079471786629,5773.275165943687,6278.900851296338,7918.530655901727,8008.292381048781,8581.538306493783,8787.010715428005
167.55160819145564,1.2320720529384515E-10,827.6985143964059,1002.2609669826876,1195.4303485626278,1417.9869102068187,1785.2140102898736,2309.7948685839074,2988.1870518284227,3958.7300658432882,4037.5473855494756,4355.817993335928,4623.642994304246,5154.850385180119,5695.158460602598,5772.534092773434,6329.7351138410995,7912.630247810727,8008.559500368679,8563.85541719737,8785.32871704739
172.78759594743863,6.223957531421741E-9,863.059882365963,1022.3220192697179,1200.1630014674297,1417.7407487213475,1785.191450308669,2308.9004522306723,3003.00183258726,3950.862103970613,4039.0348129955573,4359.6307191420365,4648.399280315401,5202.593252683334,5692.262276973866,5771.829206455719,6382.263989623536,7906.116856988088,8008.823737202488,8546.726011192082,8783.702065559513
178.02358370342162,2.1471107927888266E-11,897.6902845623068,1041.395446755981,1204.661379633328,1417.4831157014776,1784.9620056692738,2307.3132968072405,3016.6142491758656,3942.981987017765,4040.3119739075855,4363.623012739606,4671.605299102498,5246.52868095809,5689.406176512996,5771.161766353878,6436.249109796987,7898.96368522865,8009.079711605527,8530.212797842529,8782.136445614457
183.2595714594046,4.802927077561386E-10,931.4301011304093,1059.4827834610842,1208.925599876594,1417.2168829706848,1784.564198944028,2305.068433489176,3029.08583059444,3935.1666345923045,4041.415229876662,4367.734613880647,4693.224856374466,5286.818941753463,5686.606044345541,5770.532801289241,6491.415135807146,7891.138384845177,8009.323658684695,8514.376031471493,8780.637310804535
188.4955592153876,8.504245561722228E-11,964.1035554183484,1076.5957063393303,1212.954073367819,1416.9450147989744,1784.0334219919253,2302.2135947628976,3040.4757537909486,3927.490571698815,4042.372605684839,4371.90590323584,4713.243480191187,5323.629158923593,5683.878286512819,5769.943130573025,6547.449224163537,7882.605762549546,8009.553048968698,8499.273356503681,8779.209855144767
193.7315469713706,7.394370207942725E-10,995.5122631302924,1092.76204896628,1216.743742628279,1416.6705909233838,1783.4021911724158,2298.8099036577228,3050.8401071705093,3920.0251262254747,4043.205978900011,4376.078563036073,4731.664791597355,5357.122688617836,5681.2396985196765,5769.393385850245,6603.99995630901,7873.33149291491,8009.766281813049,8484.959649508664,8777.85899146283
198.96753472735355,3.3936459539045836E-10,1025.4242380898108,1108.0365425934106,1220.2903129883678,1416.3968159630263,1782.7003546143183,2294.9323563220414,3060.231377240677,3912.837800476941,4043.9326158241865,4380.196116815283,4748.506719108966,5387.4578456772615,5678.707310974814,5768.884033435792,6660.675365050495,7863.287308200465,8009.962444154094,8471.486860513805,8776.589334668613
204.20352248333654,5.249074427748565E-10,1053.5546250393488,1122.520114149476,1223.5884813425348,1416.1270146689565,1781.9552568405543,2290.669990061664,3068.698116597027,3905.9917889289404,4044.566268426497,4384.204382821731,4763.797825717936,5414.785555504887,5676.298212892219,5768.415396655652,6717.039616601898,7852.458259377181,8010.141123751726,8458.903855536419,8775.405188669534
209.43951023931956,2.911762213155475E-10,1079.533498410104,1136.3925281972397,1226.6321647553164,1415.8646130034042,1781.1918660983515,2286.125604968912,3076.2847539138884,3899.5456184082473,4045.117970273166,4388.051869213178,4777.573932024966,5439.247650851524,5674.0293544401875,5767.987677924104,6772.607843233595,7840.852768819036,8010.302265788908,8447.256261942453,8774.310536068702
214.67549799530252,2.693773705626E-10,1102.865836059017,1149.9534128422818,1229.41472992427,1415.6131042816532,1780.4328690370508,2281.4148858549693,3083.0315113378556,3893.5528906454892,4045.596622463157,4391.690131756771,4789.875142405125,5460.975629976471,5671.9173317800105,5767.600980275752,6826.838592872975,7828.516277983121,8010.4460630144895,8436.586318262904,8773.309030060747
219.91148575128554,3.169284016066468E-10,1122.9456326406391,1163.6098684309102,1231.9292240533186,1415.3760010023484,1779.698737846909,2276.6647592752297,3088.9743994400187,3888.062110572261,4046.0094298912427,4395.074107910561,4800.743318903339,5480.08975619951,5669.9781578306265,5767.2553279295935,6879.123443951003,7815.549235889017,8010.572871257573,8426.932730053451,8772.403988135124
